Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
1,1.7983429763052199,19.09722222222222,1.7574239730834962,26.38888888888889
2,1.7312900092866685,28.645833333333332,1.6685030937194825,32.638888888888886
3,1.5438782109154596,40.104166666666664,1.3455295801162719,51.388888888888886
4,1.4525956114133198,54.6875,2.001946949958801,22.22222222222222
5,1.7307620114750333,27.604166666666668,1.5802041053771974,46.52777777777778
6,1.3615177273750305,46.354166666666664,1.2281938791275024,45.138888888888886
7,0.8467826412783729,65.79861111111111,0.6848859548568725,71.52777777777777
8,1.2106476624806721,55.55555555555556,1.131235909461975,52.77777777777778
9,0.7023256205850177,78.64583333333333,0.4999073028564453,81.25
10,0.42491279128524995,83.50694444444444,0.5272742241621018,75.69444444444444
11,0.3658832311630249,86.45833333333333,0.4177149057388306,86.80555555555556
12,0.18227104345957437,94.61805555555556,0.27777245342731477,88.19444444444444
13,0.21468201900521913,92.70833333333333,0.3022686541080475,86.11111111111111
14,0.07681589087264405,97.91666666666667,0.10662562102079391,94.44444444444444
15,0.038296199662403926,99.13194444444444,0.25315831750631335,88.88888888888889
16,0.033568885060958564,98.95833333333333,0.15317997708916664,95.13888888888889
17,0.023270525626786467,99.30555555555556,0.057482866244390605,97.91666666666667
18,0.012183908052975312,99.47916666666667,0.05241604223847389,98.61111111111111
19,0.007034712778275005,99.82638888888889,0.029833559691905976,99.30555555555556
20,0.002107738370088757,100.0,0.021436706371605396,100.0
21,0.0011768830388771473,100.0,0.013468804489821195,100.0
22,0.0007821328076210597,100.0,0.01224479082156904,100.0
23,0.000657796765153762,100.0,0.012992801237851381,99.30555555555556
24,0.0008478688262888076,100.0,0.011691448418423534,99.30555555555556
25,0.000511954937590215,100.0,0.020678818598389624,99.30555555555556
26,0.0009036254276806074,100.0,0.014972614822909236,99.30555555555556
27,0.0006450311173264506,100.0,0.021192080806940794,99.30555555555556
28,0.000623602633923939,100.0,0.011364939762279392,99.30555555555556
29,0.0010863829342674257,100.0,0.011877016909420491,99.30555555555556
30,0.0004730295091172189,100.0,0.02290877616032958,99.30555555555556
31,0.00032642151816415007,100.0,0.011722418625140563,99.30555555555556
32,0.0004274989514669869,100.0,0.010680652176961302,99.30555555555556
33,0.0005732234389547051,100.0,0.023008555732667448,99.30555555555556
34,0.0008872746695689986,100.0,0.018026016559451817,99.30555555555556
35,0.0073535519396601655,99.65277777777777,0.10341291897930205,96.52777777777777
36,0.006336739260506066,99.82638888888889,0.0718789759092033,97.22222222222223
37,0.005208736476359061,99.65277777777777,0.020697434432804585,99.30555555555556
38,0.1264707220778089,96.875,1.898922872543335,57.638888888888886
39,0.4303270618741711,86.28472222222223,0.1423954799771309,97.91666666666667
40,0.05028824960916407,99.30555555555556,0.11369826495647431,93.75
41,0.018002937412044655,99.47916666666667,0.0502630464732647,97.91666666666667
42,0.005795885168481618,99.82638888888889,0.05372751466929913,96.52777777777777
43,0.0025161650102947736,100.0,0.03623166987672448,98.61111111111111
44,0.0032552395552758956,100.0,0.012648129276931286,100.0
45,0.0033900838995274776,100.0,0.01718342084204778,100.0
46,0.005989686492992203,100.0,0.05238118451088667,98.61111111111111
47,0.004988743037554539,99.65277777777777,0.01057670097798109,100.0
48,0.0013298096503907193,100.0,0.007508795917965471,100.0
49,0.0006117550761296621,100.0,0.00936243711039424,100.0
50,0.00046481015710418835,100.0,0.01200556019321084,100.0
51,0.0004237390360988987,100.0,0.009078224934637547,100.0
52,0.00039051203202689067,100.0,0.007975200470536948,100.0
53,0.00033861050380639627,100.0,0.006306389719247818,100.0
54,0.0003118263658608258,100.0,0.006246356293559074,100.0
55,0.00039918427379840676,100.0,0.008385218097828329,100.0
56,0.0002987486012797389,100.0,0.006367566529661417,100.0
57,0.00022574064152852062,100.0,0.005593078292440623,100.0
58,0.0004116492614735358,100.0,0.005275180912576616,100.0
59,0.0004466910007370946,100.0,0.004084891069214791,100.0
60,0.0003367194264380184,100.0,0.004727308847941458,100.0
61,0.0002495317888436451,100.0,0.003721334715373814,100.0
62,0.000326815234075184,100.0,0.0048530257772654295,100.0
63,0.001756389248233366,100.0,0.04946987256407738,97.91666666666667
64,0.0031700089922297695,99.82638888888889,0.02232197505654767,98.61111111111111
65,0.007537962731779165,99.65277777777777,0.037097423896193506,98.61111111111111
66,0.0028775147770324517,100.0,0.030216969177126886,98.61111111111111
67,0.000745745796949551,100.0,0.015514800744131207,100.0
68,0.00032363279549624876,100.0,0.01069743069820106,100.0
69,0.00023858201752268037,100.0,0.006930546136572957,100.0
70,0.00013628039192149622,100.0,0.006115752412006259,100.0
71,0.00038011319237638317,100.0,0.008770094765350223,100.0
72,0.00021878316672680539,100.0,0.008429989335127175,100.0
73,0.0002283914002166259,100.0,0.0071334492720779965,100.0
74,0.0001059074658971642,100.0,0.006257765751797706,100.0
75,0.00013215769366878603,100.0,0.007463192124851048,100.0
76,0.00011606670821290916,100.0,0.0064652192930225285,100.0
77,9.212372394055517e-05,100.0,0.005817207986547146,100.0
78,0.00010268417665631407,100.0,0.005596038384828717,100.0
79,0.00028925932307780994,100.0,0.006771339103579521,100.0
80,0.0003814576928359909,100.0,0.00673381015076302,100.0
81,0.00017564549600340088,100.0,0.009470078349113464,100.0
82,0.00012674403185681312,100.0,0.006578346947208047,100.0
83,0.0001939267130081943,100.0,0.005053901392966509,100.0
84,7.985984656342125e-05,100.0,0.004809288983233273,100.0
85,0.00011267760292968078,100.0,0.00428078587865457,100.0
86,8.0190669602113e-05,100.0,0.00424740114249289,100.0
