Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
58,2.4399237329614858e-05,100.0,0.0003444779689743882,100.0
59,0.0001480133329576145,100.0,0.00025287489406764505,100.0
60,3.012991241904375e-05,100.0,0.0002383101666055154,100.0
61,2.410650525537979e-05,100.0,0.00021786029101349412,100.0
62,0.00021076887887261364,100.0,0.0002753203902102541,100.0
63,6.530094685786025e-05,100.0,0.0004365358407085296,100.0
64,2.8115842155784776e-05,100.0,0.00022030811669537798,100.0
65,5.374101796936278e-05,100.0,0.000314041625642858,100.0
66,2.3565312239447343e-05,100.0,0.000209680699481396,100.0
67,1.135770388474258e-05,100.0,0.00020252738613635302,100.0
68,1.705987862502904e-05,100.0,0.000197689158085268,100.0
69,0.0001891633757193429,100.0,0.00017872522912512067,100.0
70,4.702017561284164e-05,100.0,0.0001625851567951031,100.0
71,3.8374239339747066e-05,100.0,0.00016294923043460585,100.0
72,4.183939744153678e-05,100.0,0.00015686024853494017,100.0
73,8.727991791425262e-06,100.0,0.00013956063557998277,100.0
74,3.612043544383899e-05,100.0,0.00021167513623367994,100.0
75,0.00011999138852540152,100.0,0.000136132456100313,100.0
76,1.6207848684896613e-05,100.0,0.00021463921220856718,100.0
77,0.00023537443595008276,100.0,0.00013586453897005413,100.0
78,2.2936275595636995e-05,100.0,0.00017789671837817878,100.0
79,5.411571165344261e-05,100.0,0.00016083682530734222,100.0
80,2.4926839090413625e-05,100.0,0.0001925277625559829,100.0
81,3.82775426714943e-05,100.0,0.00012096189238945954,100.0
82,0.00021172943216482863,100.0,0.00012175387400930049,100.0
83,4.173000641571889e-05,100.0,0.00022893900895724074,100.0
84,7.601552742799968e-05,100.0,0.00016919671288633252,100.0
85,1.5999516863176825e-05,100.0,0.0001605899218702689,100.0
86,2.8863672971131866e-05,100.0,0.0002776694442218286,100.0
87,2.842062006733512e-05,100.0,0.00016052934442996049,100.0
88,2.2220436663802604e-05,100.0,0.0001528930737549672,100.0
89,2.9847115652298977e-05,100.0,0.0001472604271043565,100.0
90,2.8774471878200024e-05,100.0,0.00020580202108249067,100.0
