Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
1,1.3926012449794345,42.53472222222222,0.7838253498077392,67.36111111111111
2,0.6644371300935745,71.70138888888889,0.42184782922267916,84.72222222222223
3,0.3714253058036168,86.80555555555556,0.2954086273908615,86.80555555555556
4,0.23575901364286742,91.49305555555556,0.18214941918849945,92.36111111111111
5,0.15876337089058426,94.27083333333333,0.0672745555639267,97.91666666666667
6,0.10471246194922262,96.875,0.05993799641728401,99.30555555555556
7,0.04390093575542172,98.95833333333333,0.05243210457265377,98.61111111111111
8,0.03435545650103854,99.30555555555556,0.03305918853729963,98.61111111111111
9,0.032658777846437365,99.47916666666667,0.023328445479273797,99.30555555555556
10,0.023400629197971687,99.47916666666667,0.025955036655068396,100.0
11,0.03061639887487723,99.13194444444444,0.008633352955803275,100.0
12,0.023664581718751125,99.13194444444444,0.00696536167524755,100.0
13,0.019465375478224207,99.47916666666667,0.023143693059682845,98.61111111111111
14,0.027703475090675056,99.13194444444444,0.09597381968051195,96.52777777777777
15,0.018307555932551622,99.65277777777777,0.02727469140663743,99.30555555555556
16,0.011780353647837829,99.65277777777777,0.01677916767075658,100.0
17,0.004431073520714158,100.0,0.00811606904026121,100.0
18,0.004247602033299497,100.0,0.00842084096148028,100.0
19,0.007288815197373171,99.65277777777777,0.005324338283389807,100.0
20,0.004183409740411055,100.0,0.025279829930514097,97.91666666666667
21,0.004529308357935709,100.0,0.0026729430886916817,100.0
22,0.0023450058522737688,100.0,0.007218976865988225,100.0
23,0.0025474514663478155,100.0,0.0019160795258358122,100.0
24,0.004124108869291376,100.0,0.002422590693458915,100.0
25,0.0018188129599568332,100.0,0.00501954760402441,100.0
26,0.001296560546001678,100.0,0.0013000409671803936,100.0
27,0.0023357497427948853,99.82638888888889,0.0028567877947352827,100.0
28,0.003421027408977453,100.0,0.02398247439414263,99.30555555555556
29,0.0032041144323658147,100.0,0.007153060520067811,100.0
30,0.0022858701462003714,100.0,0.0021194231347180905,100.0
31,0.0016609767420353212,100.0,0.004540488912607543,100.0
32,0.001732247926863945,100.0,0.005071830638917163,100.0
33,0.0008513054732854167,100.0,0.0012070447381120175,100.0
34,0.0008990787114776645,100.0,0.0018043891119305044,100.0
35,0.0030195953457021257,99.82638888888889,0.001751511954353191,100.0
36,0.002231928848131146,100.0,0.0018424254943965935,100.0
37,0.0016713121153265496,100.0,0.0018768461653962732,100.0
38,0.0011745835650395344,100.0,0.002693010028451681,100.0
39,0.00048202807900250063,100.0,0.001958656957140192,100.0
40,0.00039820643339933467,100.0,0.0013238888408523054,100.0
41,0.0004505955692164005,100.0,0.001312383107142523,100.0
42,0.0006461042768124673,100.0,0.0030880837155564224,100.0
43,0.0004128799135085299,100.0,0.002104032493662089,100.0
44,0.0003263172527820441,100.0,0.0011079253308707848,100.0
45,0.0002236695085634387,100.0,0.0010784585727378726,100.0
46,0.0006668043170066085,100.0,0.0012182116333860904,100.0
47,0.0007011713520720756,100.0,0.002590480726212263,100.0
48,0.00040987489935812645,100.0,0.0029163751925807445,100.0
49,0.00018758311489364132,100.0,0.001405062124831602,100.0
50,0.0002114845752253637,100.0,0.0015764321549795568,100.0
51,0.0001815695494163568,100.0,0.001192498262389563,100.0
52,0.0009225358814243615,100.0,0.0017440026975236833,100.0
53,0.0007464359672061013,100.0,0.0011267188398051075,100.0
54,0.0004453504507182515,100.0,0.001034173625521362,100.0
55,0.0002047335480407734,100.0,0.001000582962296903,100.0
56,0.00028406560340954456,100.0,0.0010647745133610443,100.0
57,0.0001999389189424821,100.0,0.0008712303380889353,100.0
58,0.0001482497293889335,100.0,0.001137470654794015,100.0
59,0.00024195182075143547,100.0,0.0010961143496388103,100.0
60,0.0005187213132052824,100.0,0.0007699428663727303,100.0
61,0.00023124383773796985,100.0,0.0005955827073194087,100.0
62,0.00023239784806921508,100.0,0.0005327231017872691,100.0
63,0.00018367013343676162,100.0,0.0006307012314209715,100.0
64,0.0002251613814223674,100.0,0.0005263397091766819,100.0
65,0.00045496921292295965,100.0,0.0010362826171331108,100.0
66,0.00021418702918809786,100.0,0.001202826909138821,100.0
67,0.0002457877540614896,100.0,0.0009361371630802751,100.0
68,0.00032680180134371365,100.0,0.0006309786054771394,100.0
69,0.00016959862336484043,100.0,0.0009264969427022152,100.0
70,0.0002201402437802042,100.0,0.0007142928632674738,100.0
71,0.00024294344297636094,100.0,0.0006745350125129335,100.0
72,0.000671275518571848,100.0,0.0006258012028411031,100.0
73,0.00017015746748762063,100.0,0.0011240618274314328,100.0
74,0.0033190137489024587,99.82638888888889,0.0007522500804043375,100.0
75,0.0011104134311810615,100.0,0.002341436321148649,100.0
76,0.00037156509582321934,100.0,0.000848685356322676,100.0
77,0.0003842494359357968,100.0,0.0008510818559443578,100.0
78,0.001274501092767524,100.0,0.0012249430641531945,100.0
79,0.0007615635476112301,100.0,0.0008131899667205289,100.0
80,0.0004892832565827929,100.0,0.0008882529320544564,100.0
81,0.000631035284742312,100.0,0.0071651575242867695,99.30555555555556
82,0.00024313120411534328,100.0,0.004132848176050174,100.0
83,0.000207713453770945,100.0,0.0011089844054367858,100.0
84,0.00041204049699040805,100.0,0.001014050713274628,100.0
85,0.0001448035764042288,100.0,0.0007169568110839464,100.0
86,0.00012121516455307655,100.0,0.0011371364911610727,100.0
87,0.0001748836962178757,100.0,0.0013634758186526596,100.0
88,0.00018153211729238846,100.0,0.0015222484129481018,100.0
89,0.00023451893492973695,100.0,0.0011955846508499234,100.0
90,0.00012758550474245567,100.0,0.0007776953261782182,100.0
