#Epochs / loss	AlexNet	std	VGG16	std	VGG19	std	GoogLeNet	std	ResNet18	std	ResNet34	std	ResNet50	std	ResNet101	std	ResNet152	std
29	0.017569224	0.006146876	0.05744793	0.036569289	0.091444545	0.089264046	0.024553086	0.001995128	0.006664629	0.00072224	0.006664629	0.00072224	0.004780111	0.001040554	0.014524556	0.003739812	0.009862522	0.001978326
30	0.017113475	0.010559758	0.050755386	0.058478623	0.088675213	0.066163434	0.023130913	0.002350681	0.007232611	0.000979256	0.007232611	0.000979256	0.004735822	0.000523296	0.015923466	0.006924903	0.010608021	0.004384575
31	0.018242476	0.012330445	0.0274675	0.019409607	0.073689343	0.06902375	0.02274669	0.001964623	0.006647846	0.00103019	0.006647846	0.00103019	0.004275717	0.000375042	0.013174483	0.003967881	0.00962917	0.002948903
32	0.021489849	0.03347237	0.017518935	0.015070064	0.08946354	0.126191341	0.021257402	0.002954662	0.006382276	0.00068876	0.006382276	0.00068876	0.003844159	0.000454837	0.014296733	0.00704267	0.008346934	0.00126389
33	0.016577922	0.020936008	0.024841485	0.02911056	0.054382559	0.057764038	0.020934227	0.003455359	0.006062751	0.000797139	0.006062751	0.000797139	0.004008067	0.00030549	0.014240498	0.005323122	0.008671311	0.002464347
34	0.01441745	0.013333892	0.051973112	0.076806958	0.030206722	0.029824686	0.01885259	0.002119982	0.006616037	0.001071536	0.006616037	0.001071536	0.003944523	0.000796947	0.01206512	0.007746687	0.008050333	0.002234127
35	0.010257774	0.00937076	0.047932662	0.055630374	0.028421694	0.056584533	0.019712351	0.003422547	0.006309552	0.00122195	0.006309552	0.00122195	0.003836137	0.000688069	0.01143212	0.005518033	0.008149312	0.002036291
36	0.0071117	0.008957775	0.022534006	0.019852001	0.022068927	0.044095045	0.018855578	0.002729697	0.005245664	0.000558418	0.005245664	0.000558418	0.003546383	0.000616073	0.012090812	0.006789195	0.008270668	0.003337839
37	0.006624013	0.008080834	0.031169344	0.049617974	0.023238467	0.033172908	0.016795246	0.002745984	0.005085917	0.000474065	0.005085917	0.000474065	0.003417042	0.000543644	0.010987131	0.004794042	0.006601954	0.001772772
38	0.007343471	0.008853239	0.022653664	0.044442554	0.014101914	0.02125907	0.017988836	0.001946677	0.005573578	0.001328393	0.005573578	0.001328393	0.003351693	0.000401794	0.01115559	0.002951585	0.006183786	0.002161815
