#TrainingEpoch	Alex	VGG16	VGG19	GoogLe	Res18	Res34	Res50	Res101	Res152
57	0.000538944	0.000136673	5.79E-05	0.00756802	0.002740926	0.001912776	0.004241447	0.003750829	0.003055221
58	0.000983895	0.00020588	6.81E-05	0.007237777	0.002810975	0.001795714	0.002935623	0.002510283	0.002382267
59	0.001109886	0.000255161	6.95E-05	0.007164135	0.002524414	0.001746385	0.003054128	0.002779155	0.002253188
60	0.001970463	0.000266033	7.71E-05	0.006362461	0.002567585	0.001862402	0.003110774	0.002658493	0.002425506
61	0.000995133	0.000178701	4.92E-05	0.006640948	0.002292289	0.001761922	0.00325292	0.002791497	0.002300562
62	0.000731193	0.000222433	8.77E-05	0.006368126	0.002336119	0.001925626	0.0028114	0.003327504	0.002287263
63	0.001427698	0.000945683	4.14E-05	0.006612342	0.002631455	0.001855206	0.002565739	0.002867941	0.002100465
64	0.000661631	0.000817057	4.92E-05	0.006951077	0.002387564	0.001719139	0.003643034	0.002722532	0.002953467
65	0.000390037	0.002158796	4.43E-05	0.005874907	0.00231322	0.001822872	0.002887124	0.003029725	0.002111902
66	0.000376172	0.000953884	4.38E-05	0.006499716	0.002242948	0.001750248	0.002423204	0.002436216	0.002134885
67	0.000572157	0.001857839	3.99E-05	0.005966805	0.00222527	0.001603614	0.003110668	0.002430732	0.00207499
68	0.001603938	0.000377361	5.13E-05	0.005226606	0.002235955	0.001776817	0.002629509	0.002430233	0.00198024
69	0.00050127	0.000168158	9.22E-05	0.005290312	0.002289068	0.001459809	0.002819311	0.002519063	0.002028233
70	0.000586222	0.001738758	6.65E-05	0.005316126	0.001862556	0.001781068	0.002609283	0.002808209	0.001936308
71	0.000723913	0.003939957	7.37E-05	0.004956519	0.002000167	0.001633916	0.002274266	0.002711757	0.001750512
72	0.000571375	0.003222781	3.97E-05	0.005070668	0.002067793	0.001514206	0.002367861	0.002494772	0.002362365
73	0.000402778	0.000743036	7.57E-05	0.005246978	0.001967279	0.00159083	0.00202588	0.003022227	0.001966071
74	0.001013637	0.001930181	0.000178712	0.005554237	0.002076965	0.001350429	0.003037845	0.00218842	0.001903887
75	0.000569009	0.001822392	0.02068296	0.005341818	0.001886948	0.001445988	0.002508639	0.002209611	0.001843286
76	0.000561395	0.008316565	0.005146946	0.004862978	0.001913616	0.001231359	0.002405718	0.002788723	0.001739325
77	0.001046639	0.002483849	0.001307151	0.004995182	0.001944416	0.001395977	0.002637674	0.00220986	0.001464059
78	0.001334916	0.001053384	0.000372812	0.005086954	0.001790024	0.001425902	0.002097985	0.001815547	0.001669668
79	0.000703033	0.000593801	0.000177755	0.004369261	0.001699715	0.001437474	0.001957868	0.001896714	0.001543226
80	0.000437073	0.000338082	7.99E-05	0.005123264	0.001837595	0.001451329	0.001854508	0.001971742	0.001590379
81	0.000423202	0.00024802	7.39E-05	0.004311876	0.001776352	0.001368526	0.002111585	0.00235827	0.001560868
82	0.000529865	0.000184914	0.000101009	0.004212997	0.001815647	0.001301869	0.002247536	0.002456668	0.001722148
83	0.000627086	0.000257425	6.31E-05	0.004268592	0.001661307	0.001257009	0.002146595	0.001705959	0.001510737
84	0.001256431	0.000516545	7.47E-05	0.005021953	0.001811746	0.001235069	0.001865563	0.001935088	0.001518087
85	0.000399006	0.000144078	4.85E-05	0.004355707	0.001876899	0.00123302	0.001776743	0.003126342	0.001404999
86	0.00038074	0.000263027	5.17E-05	0.004225682	0.001647277	0.001398549	0.002030451	0.001673707	0.001513898
87	0.000425177	0.000112301	3.16E-05	0.004364489	0.001821884	0.001381793	0.00215337	0.002330175	0.001507591
88	0.000285083	0.00013606	3.99E-05	0.0043326	0.001570334	0.001121102	0.002040718	0.001752804	0.001720552
89	0.000338645	0.00016471	4.86E-05	0.004374537	0.001792954	0.001335678	0.001605747	0.001845464	0.001378702
90	0.000342824	0.000118838	4.05E-05	0.004519103	0.001494537	0.001209581	0.001751639	0.001758657	0.001478936
