#Epochs / accuracy	AlexNet	std	VGG16	std	VGG19	std	GoogLeNet	std	ResNet18	std	ResNet34	std	ResNet50	std	ResNet101	std	ResNet152	std
20	87.08333333	3.467589502	80.55555556	6.228529651	76.66666667	7.459308912	79.93055556	2.708432255	83.88888889	2.635231383	85.48611111	3.248172695	77.56944444	3.036733555	77.56944444	4.180147944	75.97222222	5.290757269
21	86.52777778	3.194108946	81.11111111	3.814882236	79.79166667	5.758727051	79.375	3.071821185	84.375	2.914277387	85.34722222	2.899530791	77.08333333	2.797001383	77.91666667	3.979866167	76.45833333	4.849523225
22	86.31944444	4.355913196	81.52777778	3.706596093	80.76388889	6.407062852	79.44444444	2.762302572	83.75	2.723229846	84.72222222	3.354485358	78.33333333	2.695541968	78.75	4.025382429	76.80555556	5.031195551
23	86.80555556	5.418842551	83.81944444	3.036733555	77.91666667	4.897351682	80.13888889	2.24906626	83.40277778	2.880991401	84.93055556	2.854833999	78.26388889	2.494206249	78.05555556	4.35775801	75.97222222	5.219381287
24	87.15277778	3.161226918	82.5	2.26331603	81.94444444	4.416385192	79.30555556	2.614818749	83.75	3.09181627	85.625	2.817044986	78.54166667	2.393343894	77.08333333	3.660043588	75.27777778	6.038073644
25	86.80555556	3.969080602	83.47222222	4.12530915	82.70833333	3.988607963	80.34722222	2.536808925	84.44444444	3.126285744	85.48611111	2.415628768	78.47222222	2.24429623	77.91666667	3.993307158	76.18055556	5.429215442
26	87.29166667	2.599404081	83.54166667	5.773595501	81.66666667	4.078280657	79.79166667	2.688575446	83.88888889	2.715347833	84.44444444	4.923540915	78.19444444	2.876337883	78.05555556	3.958265648	76.04166667	4.701411114
27	87.56944444	3.724622637	83.05555556	5.198808162	83.33333333	4.009376869	79.58333333	2.800830271	83.68055556	3.452878215	85.20833333	3.449773108	78.61111111	3.11942232	77.84722222	4.286472045	76.38888889	4.855596519
28	88.125	3.215010288	83.40277778	4.703690034	84.79166667	4.286472045	80.41666667	1.985889869	84.02777778	3.173914167	85.20833333	3.157835042	78.33333333	4.580760595	78.33333333	4.627314236	77.15277778	5.443015213
29	87.56944444	4.210800218	85.90277778	1.702608847	80.48611111	6.932474251	79.79166667	2.182564735	84.02777778	3.240740741	85.41666667	2.777777778	78.95833333	2.94718746	79.23611111	3.517452324	76.18055556	4.997534543
30	87.36111111	3.966379628	85.13888889	3.513641845	82.77777778	5.668224792	80.625	2.393343894	83.47222222	3.553071084	85.90277778	2.965313015	78.88888889	1.542438079	78.68055556	3.157835042	76.73611111	4.333714173
31	88.125	3.795872831	87.22222222	2.454140422	82.84722222	5.507605572	80.48611111	2.917952392	83.68055556	2.968924847	85.625	2.640309884	79.51388889	2.127867629	78.40277778	4.273953116	77.01388889	4.680850908
32	87.36111111	5.0055696	87.29166667	3.689933894	80.90277778	6.670925209	80.20833333	2.455231879	84.02777778	2.946278255	85.69444444	3.126285744	79.375	2.660526947	78.75	4.455041379	76.73611111	4.891330234
33	88.05555556	3.870658327	85.625	3.418566921	84.58333333	4.227944465	80.06944444	2.428901554	83.75	3.177288877	85.76388889	3.421700347	79.65277778	1.182596275	78.26388889	5.727003426	76.875	5.419336949
34	88.40277778	3.089215555	84.79166667	5.273003851	84.51388889	4.664796987	79.30555556	2.552601621	83.75	2.703481726	85.69444444	2.742835786	79.44444444	1.542438079	78.40277778	4.223506343	76.73611111	5.88573247
